Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Technology & Computing,,0.4,16
#ADV#Sky Ride#Sports#Cycling#UK#CP# - 15199,Pixel-Firings,Engagers,Travel,,1.02,36
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Age,18 - 24,0.68,898
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Age,25 - 34,1.88,"3,601"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Age,35 - 44,2.46,"3,453"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Age,45 - 54,2.22,"2,261"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Age,55 - 64,1.45,"1,354"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Age,65+,1.4,"1,920"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Education,Other,1.97,"2,735"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Education,Post Grad,1.24,"2,932"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Education,Secondary,0.68,935
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Education,University,1.58,"3,791"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Education,Vocational,1.79,"1,662"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Employment Status,Employed,2.11,"6,206"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Employment Status,Student,0.91,"2,844"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Employment Status,Unemployed,1.87,931
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Gender,Female,1.04,"4,866"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Gender,Male,1.28,"6,074"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Relationship Status,Co-habiting,0.86,435
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Relationship Status,Married,1.72,"6,333"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Relationship Status,Single,0.85,"3,847"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Social Class,AB,0.51,"1,060"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Social Class,C1,0.54,726
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Social Class,C2,0.81,851
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Social Class,D,1.76,"1,167"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Demographics,Social Class,E,2.51,23
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Automotive,,0.73,"1,073"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Education,,7.5,"16,753"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Family & Parenting,,0.74,536
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Food & Drink,,0.71,"2,332"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Health & Fitness,,6.74,"17,737"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Hobbies & Interests,,6.37,"16,514"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Home & Garden,,1.16,"1,610"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,"Law, Gov't and Politics",,2.72,"8,099"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,News,,0.9,718
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Personal Finance,,1,"1,207"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Pets,,0.64,499
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Real Estate,,0.87,460
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Religion & Spirituality,,2.1,"1,833"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Science,,1.14,511
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Shopping,,0.88,"3,974"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Society,,1.23,"1,034"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Sports,,2.13,"5,543"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Style & Fashion,,1.26,804
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Technology & Computing,,2.19,"7,634"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Site Visitors,Travel,,1.16,"2,846"
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Arts & Entertainment,,0.31,31
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Business,,0.68,35
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Education,,2.39,92
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Family & Parenting,,0.5,5
