pixel_name,Device,Hour,Users
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,22,"83,097"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Desktop,23,"43,791"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,0,245
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,1,165
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,2,128
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,3,86
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,4,117
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,5,188
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,6,369
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,7,559
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,8,699
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,9,712
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,10,830
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,11,869
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,12,886
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,13,954
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,14,992
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,15,"1,169"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,16,"1,260"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,17,"1,551"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,18,"1,884"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,19,"2,011"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,20,"1,778"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,21,"1,490"
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,22,881
#ADV#Sky#Entertainment##UK#HP#Now TV HP,Mobile,23,466
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,0,"11,292"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,1,"6,653"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,2,"4,750"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,3,"3,468"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,4,"3,375"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,5,"4,372"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,6,"6,552"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,7,"9,603"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,8,"12,945"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,9,"14,500"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,10,"16,511"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,11,"18,162"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,12,"19,786"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,13,"20,272"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,14,"21,703"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,15,"24,274"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,16,"28,821"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,17,"35,979"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,18,"47,224"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,19,"56,016"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,20,"57,847"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,21,"50,779"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,22,"32,554"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Desktop,23,"18,392"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,0,"3,006"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,1,"1,846"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,2,"1,254"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,3,972
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,4,"1,265"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,5,"2,560"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,6,"4,692"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,7,"5,804"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,8,"6,895"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,9,"6,896"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,10,"7,344"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,11,"7,784"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,12,"8,137"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,13,"8,379"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,14,"8,893"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,15,"10,157"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,16,"11,802"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,17,"14,533"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,18,"16,766"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,19,"17,579"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,20,"16,515"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,21,"13,600"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,22,"8,399"
#ADV#Sky#Entertainment##UK#HP#Now TV Movies,Mobile,23,"5,399"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,0,"1,145"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,1,782
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,2,608
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,3,596
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,4,709
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,5,"1,419"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,6,"2,717"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,7,"5,149"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,8,"7,979"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,9,"10,104"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,10,"13,015"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,11,"16,411"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,12,"15,460"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,13,"19,008"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,14,"19,141"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,15,"17,858"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,16,"16,749"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,17,"17,295"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,18,"28,977"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,19,"21,319"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,20,"11,553"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,21,"6,556"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,22,"3,294"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Desktop,23,"2,039"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,0,"1,752"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,1,"1,032"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,2,878
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,3,836
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,4,"1,473"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,5,"3,221"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,6,"6,004"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,7,"8,132"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,8,"9,757"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,9,"9,775"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,10,"10,703"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,11,"12,593"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,12,"12,637"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,13,"14,332"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,14,"14,207"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,15,"14,625"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,16,"15,253"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,17,"17,446"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,18,"23,102"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,19,"17,691"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,20,"11,216"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,21,"8,756"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,22,"5,021"
#ADV#Sky#Entertainment##UK#HP#Now TV Sport,Mobile,23,"3,189"
#ADV#Sky#Technology&Computing#Telecommunication#UK#LP#MySky-IAF-Overview,Desktop,3,1
#ADV#Sky#Technology&Computing#Telecommunication#UK#LP#MySky-IAF-Overview,Desktop,11,4
#ADV#Sky#Technology&Computing#Telecommunication#UK#LP#MySky-IAF-Overview,Desktop,14,2
#ADV#Sky#Technology&Computing#Telecommunication#UK#LP#MySky-IAF-Overview,Desktop,15,4
#ADV#Sky#Technology&Computing#Telecommunication#UK#LP#MySky-IAF-Overview,Desktop,17,2
#ADV#Sky#Technology&Computing#Telecommunication#UK#LP#MySky-IAF-Overview,Desktop,20,1
#ADV#Sky#Technology&Computing#Telecommunication#UK#LP#MySky-IAF-Overview,Mobile,4,2
#ADV#Sky#Technology&Computing#Telecommunication#UK#LP#MySky-IAF-Overview,Mobile,6,1
#ADV#Sky#Technology&Computing#Telecommunication#UK#LP#MySky-IAF-Overview,Mobile,10,1
