Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Pets,,0.84,15
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Real Estate,,2.26,25
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Religion & Spirituality,,1.1,17
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Science,,0.19,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Shopping,,1.9,143
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Society,,0.46,6
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Sports,,1.3,97
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Technology & Computing,,0.55,25
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#BMWService#LP - 16283,Pixel-Firings,Engagers,Travel,,0.72,29
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch - 14318,Pixel-Firings,Demographics,Gender,Female,0.18,1
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch - 14318,Pixel-Firings,Demographics,Gender,Male,1.97,11
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch - 14318,Pixel-Firings,Demographics,Relationship Status,Single,0.94,5
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch - 19191,Pixel-Firings,Demographics,Gender,Female,0.18,1
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch - 19191,Pixel-Firings,Demographics,Gender,Male,1.97,11
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DealerSearch - 19191,Pixel-Firings,Demographics,Relationship Status,Single,0.94,5
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Age,18 - 24,0.47,113
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Age,25 - 34,2.27,807
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Age,35 - 44,3.44,925
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Age,45 - 54,2.74,522
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Age,55 - 64,1.57,272
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Age,65+,1.02,257
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Education,> Other,1.43,365
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Education,> Post Grad,1.34,572
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Education,> Secondary,0.67,169
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Education,> University,1.49,645
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Education,> Vocational,4.18,718
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Demographics,Employment Status,Employed,2.49,"1,331"
